YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
2019,Sweet 16,3,Purdue,99,2,Tennessee,94,Upset,1,Purdue,3,2,99,94,5,2,3
1994,First Round,5,Wake Forest,68,12,College of Charleston,58,Not Upset,0,Wake Forest,5,12,68,58,10,5,12
1993,Second Round,12,George Washington,90,13,Southern,80,Not Upset,0,George Washington,12,13,90,80,10,12,13
2018,First Round,8,Creighton,59,9,Kansas State,69,Upset,1,Kansas State,9,8,69,59,10,8,9
1993,Final Four,1,North Carolina,78,2,Kansas,68,Not Upset,0,North Carolina,1,2,78,68,10,1,2
2016,First Round,8,Texas Tech,61,9,Butler,71,Upset,1,Butler,9,8,71,61,10,8,9
1992,First Round,3,Florida State,78,14,Montana,68,Not Upset,0,Florida State,3,14,78,68,10,3,14
1992,Second Round,6,Georgetown,68,3,Florida State,78,Not Upset,0,Florida State,3,6,78,68,10,3,6
1992,Second Round,7,LSU,79,2,Indiana,89,Not Upset,0,Indiana,2,7,89,79,10,2,7
1992,Sweet 16,3,Massachusetts,77,2,Kentucky,87,Not Upset,0,Kentucky,2,3,87,77,10,2,3
1992,First Round,6,Memphis,80,11,Pepperdine,70,Not Upset,0,Memphis,6,11,80,70,10,6,11
1991,First Round,4,Alabama,89,13,Murray St.,79,Not Upset,0,Alabama,4,13,89,79,10,4,13
1991,First Round,8,Georgetown,70,9,Vanderbilt,60,Not Upset,0,Georgetown,8,9,70,60,10,8,9
1991,First Round,2,Indiana,79,15,Coastal Carolina,69,Not Upset,0,Indiana,2,15,79,69,10,2,15
1991,First Round,4,Utah,82,13,South Alabama,72,Not Upset,0,Utah,4,13,82,72,10,4,13
1989,First Round,7,UCLA,84,10,Iowa State,74,Not Upset,0,UCLA,7,10,84,74,10,7,10
1988,First Round,7,Maryland,92,10,UC Santa Barbara,82,Not Upset,0,Maryland,7,10,92,82,10,7,10
1988,Sweet 16,1,Oklahoma,108,5,Louisville,98,Not Upset,0,Oklahoma,1,5,108,98,10,1,5
1995,First Round,3,Purdue,49,14,Green Bay,48,Not Upset,0,Purdue,3,14,49,48,1,3,14
1987,Second Round,10,LSU,72,2,Temple,62,Upset,1,LSU,10,2,72,62,10,2,10
2014,Sweet 16,11,Dayton,82,10,Stanford,72,Upset,1,Dayton,11,10,82,72,10,10,11
1986,First Round,8,Auburn,73,9,Arizona,63,Not Upset,0,Auburn,8,9,73,63,10,8,9
1986,Sweet 16,1,Kansas,96,5,Michigan State,86,Not Upset,0,Kansas,1,5,96,86,10,1,5
1987,Second Round,12,Wyoming,78,4,UCLA,68,Upset,1,Wyoming,12,4,78,68,10,4,12
2019,Play-In,11,Arizona State,74,11,St. John's,65,Not Upset,0,Arizona State,11,11,74,65,9,11,11
2019,Second Round,4,Virginia Tech,67,12,Liberty,58,Not Upset,0,Virginia Tech,4,12,67,58,9,4,12
2017,First Round,2,Kentucky,79,15,Northern Kentucky,70,Not Upset,0,Kentucky,2,15,79,70,9,2,15
2017,Second Round,12,Middle Tennessee State,65,4,Butler,74,Not Upset,0,Butler,4,12,74,65,9,4,12
2000,Sweet 16,1,Duke,78,5,Florida,87,Upset,1,Florida,5,1,87,78,9,1,5
2017,Second Round,7,St. Mary's (Cal.),60,2,Arizona,69,Not Upset,0,Arizona,2,7,69,60,9,2,7
1995,Sweet 16,1,Kansas,58,4,Virginia,67,Upset,1,Virginia,4,1,67,58,9,1,4
1994,Elite Eight,1,Purdue,60,2,Duke,69,Upset,1,Duke,2,1,69,60,9,1,2
2015,Second Round,5,Arkansas,78,4,North Carolina,87,Not Upset,0,North Carolina,4,5,87,78,9,4,5
2015,First Round,3,Oklahoma,69,14,Albany (N.Y.),60,Not Upset,0,Oklahoma,3,14,69,60,9,3,14
2014,First Round,1,Arizona,68,16,Weber State,59,Not Upset,0,Arizona,1,16,68,59,9,1,16
2016,First Round,2,Michigan State,81,15,Middle Tennessee State,90,Upset,1,Middle Tennessee State,15,2,90,81,9,2,15
2009,Final Four,2,Michigan State,82,1,Connecticut,73,Upset,1,Michigan State,2,1,82,73,9,1,2
2013,Play-In,13,Boise State,71,13,La Salle,80,Not Upset,0,La Salle,13,13,80,71,9,13,13
2012,Second Round,6,Murray St.,53,3,Marquette,62,Not Upset,0,Marquette,3,6,62,53,9,3,6
2012,First Round,5,Vanderbilt,79,12,Harvard,70,Not Upset,0,Vanderbilt,5,12,79,70,9,5,12
1994,Sweet 16,3,Florida,69,2,Connecticut,60,Upset,1,Florida,3,2,69,60,9,2,3
2011,Sweet 16,3,Brigham Young,74,2,Florida,83,Not Upset,0,Florida,2,3,83,74,9,2,3
1991,Sweet 16,3,Oklahoma State,63,10,Temple,72,Upset,1,Temple,10,3,72,63,9,3,10
2011,Play-In,16,Texas-San Antonio,70,16,Alabama State,61,Not Upset,0,Texas-San Antonio,16,16,70,61,9,16,16
2010,First Round,3,Baylor,68,14,Sam Houston State,59,Not Upset,0,Baylor,3,14,68,59,9,3,14
2010,Second Round,10,Georgia Tech,66,2,Ohio State,75,Not Upset,0,Ohio State,2,10,75,66,9,2,10
2010,Second Round,10,Missouri,59,2,West Virginia,68,Not Upset,0,West Virginia,2,10,68,59,9,2,10
2009,First Round,6,Arizona State,66,11,Temple,57,Not Upset,0,Arizona State,6,11,66,57,9,6,11
2017,First Round,5,Minnesota,72,12,Middle Tennessee State,81,Upset,1,Middle Tennessee State,12,5,81,72,9,5,12
2008,Play-In,16,Mount St. Mary's,69,16,Coppin State,60,Not Upset,0,Mount St. Mary's,16,16,69,60,9,16,16
2008,Second Round,12,Western Kentucky,72,13,San Diego,63,Not Upset,0,Western Kentucky,12,13,72,63,9,12,13
2007,First Round,7,Boston College,84,10,Texas Tech,75,Not Upset,0,Boston College,7,10,84,75,9,7,10
2007,National Championship,1,Florida,84,1,Ohio State,75,Not Upset,0,Florida,1,1,84,75,9,1,1
2007,First Round,8,Kentucky,67,9,Villanova,58,Not Upset,0,Kentucky,8,9,67,58,9,8,9
2007,Sweet 16,3,Pittsburgh,55,2,UCLA,64,Not Upset,0,UCLA,2,3,64,55,9,2,3
2006,First Round,4,Illinois,78,13,Air Force,69,Not Upset,0,Illinois,4,13,78,69,9,4,13
2002,Final Four,5,Indiana,73,2,Oklahoma,64,Upset,1,Indiana,5,2,73,64,9,2,5
2005,Second Round,7,Cincinnati,60,2,Kentucky,69,Not Upset,0,Kentucky,2,7,69,60,9,2,7
2001,First Round,5,Ohio State,68,12,Utah State,77,Upset,1,Utah State,12,5,77,68,9,5,12
2005,First Round,7,Southern Illinois,65,10,St. Mary's (Cal.),56,Not Upset,0,Southern Illinois,7,10,65,56,9,7,10
1998,First Round,5,TCU,87,12,Florida State,96,Upset,1,Florida State,12,5,96,87,9,5,12
1997,First Round,5,Maryland,66,12,College of Charleston,75,Upset,1,College of Charleston,12,5,75,66,9,5,12
2005,Sweet 16,6,Wisconsin,65,10,North Carolina State,56,Not Upset,0,Wisconsin,6,10,65,56,9,6,10
2005,Second Round,6,Wisconsin,71,14,Bucknell,62,Not Upset,0,Wisconsin,6,14,71,62,9,6,14
1995,First Round,5,Arizona,62,12,Miami (Ohio),71,Upset,1,Miami (Ohio),12,5,71,62,9,5,12
2004,National Championship,3,Georgia Tech,73,2,Connecticut,82,Not Upset,0,Connecticut,2,3,82,73,9,2,3
1994,Second Round,5,Indiana,67,4,Temple,58,Upset,1,Indiana,5,4,67,58,9,4,5
2004,First Round,3,Pittsburgh,53,14,Central Florida,44,Not Upset,0,Pittsburgh,3,14,53,44,9,3,14
2003,Second Round,6,Missouri,92,3,Marquette,101,Not Upset,0,Marquette,3,6,101,92,9,3,6
2003,Second Round,1,Oklahoma,74,8,California,65,Not Upset,0,Oklahoma,1,8,74,65,9,1,8
2003,Elite Eight,1,Texas,85,7,Michigan State,76,Not Upset,0,Texas,1,7,85,76,9,1,7
2002,Second Round,5,Indiana,76,13,UNC Wilmington,67,Not Upset,0,Indiana,5,13,76,67,9,5,13
2002,Final Four,1,Maryland,97,1,Kansas,88,Not Upset,0,Maryland,1,1,97,88,9,1,1
2002,First Round,7,Wake Forest,83,10,Pepperdine,74,Not Upset,0,Wake Forest,7,10,83,74,9,7,10
2005,Second Round,6,Utah,67,3,Oklahoma,58,Upset,1,Utah,6,3,67,58,9,3,6
2000,Sweet 16,6,Miami (Fla.),71,7,Tulsa,80,Upset,1,Tulsa,7,6,80,71,9,6,7
2017,First Round,4,Purdue,80,13,Vermont,70,Not Upset,0,Purdue,4,13,80,70,10,4,13
1998,First Round,6,Arkansas,74,11,Nebraska,65,Not Upset,0,Arkansas,6,11,74,65,9,6,11
2019,First Round,7,Nevada,61,10,Florida,70,Upset,1,Florida,10,7,70,61,9,7,10
1998,National Championship,3,Utah,69,2,Kentucky,78,Not Upset,0,Kentucky,2,3,78,69,9,2,3
1997,Final Four,1,Kentucky,78,1,Minnesota,69,Not Upset,0,Kentucky,1,1,78,69,9,1,1
2010,First Round,7,Richmond,71,10,St. Mary's (Cal.),80,Upset,1,St. Mary's (Cal.),10,7,80,71,9,7,10
1996,First Round,1,Connecticut,68,16,Colgate,59,Not Upset,0,Connecticut,1,16,68,59,9,1,16
1996,National Championship,4,Syracuse,67,1,Kentucky,76,Not Upset,0,Kentucky,1,4,76,67,9,1,4
1994,Final Four,2,Arizona,82,1,Arkansas,91,Not Upset,0,Arkansas,1,2,91,82,9,1,2
1994,First Round,3,Louisville,67,14,Boise State,58,Not Upset,0,Louisville,3,14,67,58,9,3,14
1986,First Round,7,Virginia Tech,62,10,Villanova,71,Upset,1,Villanova,10,7,71,62,9,7,10
1993,First Round,7,Brigham Young,80,10,Southern Methodist,71,Not Upset,0,Brigham Young,7,10,80,71,9,7,10
2019,First Round,8,Syracuse,69,9,Baylor,78,Upset,1,Baylor,9,8,78,69,9,8,9
1992,Second Round,5,Alabama,55,4,North Carolina,64,Not Upset,0,North Carolina,4,5,64,55,9,4,5
2010,First Round,4,Purdue,72,13,Siena,64,Not Upset,0,Purdue,4,13,72,64,8,4,13
1991,Second Round,6,North Carolina State,64,3,Oklahoma State,73,Not Upset,0,Oklahoma State,3,6,73,64,9,3,6
2004,Sweet 16,8,Alabama,80,5,Syracuse,71,Upset,1,Alabama,8,5,80,71,9,5,8
2002,Sweet 16,8,UCLA,73,12,Missouri,82,Upset,1,Missouri,12,8,82,73,9,8,12
1990,Sweet 16,3,Duke,90,7,UCLA,81,Not Upset,0,Duke,3,7,90,81,9,3,7
1990,Final Four,4,Georgia Tech,81,1,UNLV,90,Not Upset,0,UNLV,1,4,90,81,9,1,4
1999,First Round,8,College of Charleston,53,9,Tulsa,62,Upset,1,Tulsa,9,8,62,53,9,8,9
1990,First Round,1,Oklahoma,77,16,Towson,68,Not Upset,0,Oklahoma,1,16,77,68,9,1,16
1989,Second Round,5,Arkansas,84,4,Louisville,93,Not Upset,0,Louisville,4,5,93,84,9,4,5
1989,First Round,8,La Salle,74,9,Louisiana Tech,83,Upset,1,Louisiana Tech,9,8,83,74,9,8,9
1989,First Round,3,Seton Hall,60,14,Missouri State,51,Not Upset,0,Seton Hall,3,14,60,51,9,3,14
1989,Second Round,11,South Alabama,82,3,Michigan,91,Not Upset,0,Michigan,3,11,91,82,9,3,11
1988,First Round,3,Illinois,81,14,Texas-San Antonio,72,Not Upset,0,Illinois,3,14,81,72,9,3,14
1985,First Round,8,Iowa,54,9,Arkansas,63,Upset,1,Arkansas,9,8,63,54,9,8,9
1988,First Round,5,Louisville,70,12,Oregon State,61,Not Upset,0,Louisville,5,12,70,61,9,5,12
1988,Second Round,7,Maryland,81,2,Kentucky,90,Not Upset,0,Kentucky,2,7,90,81,9,2,7
1988,Sweet 16,3,Michigan,69,2,North Carolina,78,Not Upset,0,North Carolina,2,3,78,69,9,2,3
1994,Sweet 16,9,Boston College,77,5,Indiana,68,Upset,1,Boston College,9,5,77,68,9,5,9
2009,First Round,5,Purdue,61,12,Northern Iowa,56,Not Upset,0,Purdue,5,12,61,56,5,5,12
1986,First Round,1,St. John's,83,16,Montana State,74,Not Upset,0,St. John's,1,16,83,74,9,1,16
1985,First Round,7,Alabama,50,10,Arizona,41,Not Upset,0,Alabama,7,10,50,41,9,7,10
1985,First Round,3,North Carolina State,65,14,Nevada,56,Not Upset,0,North Carolina State,3,14,65,56,9,3,14
1985,First Round,7,Notre Dame,79,10,Oregon State,70,Not Upset,0,Notre Dame,7,10,79,70,9,7,10
1996,Second Round,12,Arkansas,65,4,Marquette,56,Upset,1,Arkansas,12,4,65,56,9,4,12
1985,Elite Eight,1,St. John's,69,3,North Carolina State,60,Not Upset,0,St. John's,1,3,69,60,9,1,3
2019,National Championship,1,Virginia,85,3,Texas Tech,77,Not Upset,0,Virginia,1,3,85,77,8,1,3
2006,Sweet 16,1,Duke,54,4,LSU,62,Upset,1,LSU,4,1,62,54,8,1,4
2018,First Round,5,Ohio State,81,12,South Dakota State,73,Not Upset,0,Ohio State,5,12,81,73,8,5,12
2017,First Round,7,St. Mary's (Cal.),85,10,Virginia Commonwealth,77,Not Upset,0,St. Mary's (Cal.),7,10,85,77,8,7,10
1999,Sweet 16,1,Auburn,64,4,Ohio State,72,Upset,1,Ohio State,4,1,72,64,8,1,4
2016,First Round,4,Duke,93,13,UNC Wilmington,85,Not Upset,0,Duke,4,13,93,85,8,4,13
1997,Final Four,1,North Carolina,58,4,Arizona,66,Upset,1,Arizona,4,1,66,58,8,1,4
2016,Second Round,1,Virginia,77,9,Butler,69,Not Upset,0,Virginia,1,9,77,69,8,1,9
2016,Second Round,11,Wichita State,57,3,Miami (Fla.),65,Not Upset,0,Miami (Fla.),3,11,65,57,8,3,11
2015,First Round,6,Butler,56,11,Texas,48,Not Upset,0,Butler,6,11,56,48,8,6,11
1989,Elite Eight,1,Georgetown,77,2,Duke,85,Upset,1,Duke,2,1,85,77,8,1,2
2015,Sweet 16,6,Xavier,60,2,Arizona,68,Not Upset,0,Arizona,2,6,68,60,8,2,6
2015,Second Round,6,Xavier,75,14,Georgia State,67,Not Upset,0,Xavier,6,14,75,67,8,6,14
2014,First Round,7,Connecticut,89,10,St. Joseph's,81,Not Upset,0,Connecticut,7,10,89,81,8,7,10
2014,First Round,8,Gonzaga,85,9,Oklahoma State,77,Not Upset,0,Gonzaga,8,9,85,77,8,8,9
2014,Second Round,7,Oregon,77,2,Wisconsin,85,Not Upset,0,Wisconsin,2,7,85,77,8,2,7
2013,First Round,7,Illinois,57,10,Colorado,49,Not Upset,0,Illinois,7,10,57,49,8,7,10
2013,Sweet 16,1,Louisville,77,12,Oregon,69,Not Upset,0,Louisville,1,12,77,69,8,1,12
2012,First Round,3,Baylor,68,14,South Dakota State,60,Not Upset,0,Baylor,3,14,68,60,8,3,14
2012,National Championship,1,Kentucky,67,2,Kansas,59,Not Upset,0,Kentucky,1,2,67,59,8,1,2
2012,Final Four,1,Kentucky,69,4,Louisville,61,Not Upset,0,Kentucky,1,4,69,61,8,1,4
2004,Sweet 16,3,Texas,71,7,Xavier,79,Upset,1,Xavier,7,3,79,71,8,3,7
2012,Sweet 16,1,North Carolina,73,13,Ohio,65,Not Upset,0,North Carolina,1,13,73,65,8,1,13
1998,Sweet 16,3,Stanford,67,2,Purdue,59,Upset,1,Stanford,3,2,67,59,8,2,3
1995,First Round,3,Villanova,81,14,Old Dominion,89,Upset,1,Old Dominion,14,3,89,81,8,3,14
1993,Sweet 16,3,Vanderbilt,59,7,Temple,67,Upset,1,Temple,7,3,67,59,8,3,7
2011,First Round,3,Brigham Young,74,14,Wofford,66,Not Upset,0,Brigham Young,3,14,74,66,8,3,14
2011,Second Round,7,UCLA,65,2,Florida,73,Not Upset,0,Florida,2,7,73,65,8,2,7
2011,Final Four,11,Virginia Commonwealth,62,8,Butler,70,Not Upset,0,Butler,8,11,70,62,8,8,11
2011,Second Round,5,West Virginia,63,4,Kentucky,71,Not Upset,0,Kentucky,4,5,71,63,8,4,5
2011,First Round,5,West Virginia,84,12,Clemson,76,Not Upset,0,West Virginia,5,12,84,76,8,5,12
2010,Second Round,11,Old Dominion,68,3,Baylor,76,Not Upset,0,Baylor,3,11,76,68,8,3,11
2017,Second Round,5,Iowa State,76,4,Purdue,80,Not Upset,0,Purdue,4,5,80,76,4,4,5
2009,Second Round,1,Pittsburgh,84,8,Oklahoma State,76,Not Upset,0,Pittsburgh,1,8,84,76,8,1,8
2008,First Round,6,Marquette,74,11,Kentucky,66,Not Upset,0,Marquette,6,11,74,66,8,6,11
2008,First Round,6,Oklahoma,72,11,St. Joseph's,64,Not Upset,0,Oklahoma,6,11,72,64,8,6,11
2007,Elite Eight,1,Florida,85,3,Oregon,77,Not Upset,0,Florida,1,3,85,77,8,1,3
2007,Sweet 16,1,Florida,65,5,Butler,57,Not Upset,0,Florida,1,5,65,57,8,1,5
2007,Play-In,16,Niagara,77,16,Florida A&M,69,Not Upset,0,Niagara,16,16,77,69,8,16,16
2006,First Round,5,Nevada,79,12,Montana,87,Upset,1,Montana,12,5,87,79,8,5,12
2006,First Round,5,Syracuse,58,12,Texas A&M,66,Upset,1,Texas A&M,12,5,66,58,8,5,12
2006,First Round,2,Ohio State,70,15,Davidson,62,Not Upset,0,Ohio State,2,15,70,62,8,2,15
2006,First Round,2,Texas,60,15,Penn,52,Not Upset,0,Texas,2,15,60,52,8,2,15
2004,First Round,5,Providence,58,12,Pacific,66,Upset,1,Pacific,12,5,66,58,8,5,12
2003,Second Round,5,Notre Dame,68,4,Illinois,60,Upset,1,Notre Dame,5,4,68,60,8,4,5
2005,Second Round,1,Duke,63,9,Mississippi State,55,Not Upset,0,Duke,1,9,63,55,8,1,9
2005,First Round,2,Kentucky,72,15,Eastern Kentucky,64,Not Upset,0,Kentucky,2,15,72,64,8,2,15
2005,Elite Eight,4,Louisville,93,7,West Virginia,85,Not Upset,0,Louisville,4,7,93,85,8,4,7
2005,First Round,5,Michigan State,89,12,Old Dominion,81,Not Upset,0,Michigan State,5,12,89,81,8,5,12
2005,First Round,8,Pacific,79,9,Pittsburgh,71,Not Upset,0,Pacific,8,9,79,71,8,8,9
2005,Second Round,7,Southern Illinois,77,2,Oklahoma State,85,Not Upset,0,Oklahoma State,2,7,85,77,8,2,7
2005,First Round,5,Villanova,55,12,New Mexico,47,Not Upset,0,Villanova,5,12,55,47,8,5,12
2004,Elite Eight,4,Kansas,71,3,Georgia Tech,79,Not Upset,0,Georgia Tech,3,4,79,71,8,3,4
1992,First Round,5,DePaul,73,12,New Mexico State,81,Upset,1,New Mexico State,12,5,81,73,8,5,12
1985,First Round,5,Washington,58,12,Kentucky,66,Upset,1,Kentucky,12,5,66,58,8,5,12
2003,First Round,4,Stanford,77,13,San Diego,69,Not Upset,0,Stanford,4,13,77,69,8,4,13
2003,Play-In,16,UNC Asheville,92,16,Texas Southern,84,Not Upset,0,UNC Asheville,16,16,92,84,8,16,16
2002,First Round,2,Alabama,86,15,Florida Atlantic,78,Not Upset,0,Alabama,2,15,86,78,8,2,15
2002,Elite Eight,1,Maryland,90,2,Connecticut,82,Not Upset,0,Maryland,1,2,90,82,8,1,2
2002,First Round,2,Oklahoma,71,15,Illinois-Chicago,63,Not Upset,0,Oklahoma,2,15,71,63,8,2,15
2009,First Round,6,West Virginia,60,11,Dayton,68,Upset,1,Dayton,11,6,68,60,8,6,11
2002,Second Round,11,Wyoming,60,3,Arizona,68,Not Upset,0,Arizona,3,11,68,60,8,3,11
2006,First Round,6,Oklahoma,74,11,Milwaukee,82,Upset,1,Milwaukee,11,6,82,74,8,6,11
2002,First Round,6,Texas Tech,68,11,Southern Illinois,76,Upset,1,Southern Illinois,11,6,76,68,8,6,11
2000,First Round,5,Connecticut,75,12,Utah State,67,Not Upset,0,Connecticut,5,12,75,67,8,5,12
2000,Second Round,11,Pepperdine,67,3,Oklahoma State,75,Not Upset,0,Oklahoma State,3,11,75,67,8,3,11
1991,First Round,6,New Mexico State,56,11,Creighton,64,Upset,1,Creighton,11,6,64,56,8,6,11
1999,Second Round,6,Florida,82,14,Weber State,74,Not Upset,0,Florida,6,14,82,74,8,6,14
1999,Sweet 16,1,Michigan State,54,13,Oklahoma,46,Not Upset,0,Michigan State,1,13,54,46,8,1,13
1999,Second Round,1,Michigan State,74,9,Mississippi,66,Not Upset,0,Michigan State,1,9,74,66,8,1,9
1998,Sweet 16,1,Arizona,87,4,Maryland,79,Not Upset,0,Arizona,1,4,87,79,8,1,4
1998,First Round,2,Connecticut,93,15,Fairleigh Dickinson,85,Not Upset,0,Connecticut,2,15,93,85,8,2,15
2016,First Round,7,Oregon State,67,10,Virginia Commonwealth,75,Upset,1,Virginia Commonwealth,10,7,75,67,8,7,10
1997,First Round,4,Arizona,65,13,South Alabama,57,Not Upset,0,Arizona,4,13,65,57,8,4,13
2010,First Round,7,Clemson,78,10,Missouri,86,Upset,1,Missouri,10,7,86,78,8,7,10
1997,First Round,6,Louisville,65,11,Massachusetts,57,Not Upset,0,Louisville,6,11,65,57,8,6,11
1997,Elite Eight,1,Minnesota,80,2,UCLA,72,Not Upset,0,Minnesota,1,2,80,72,8,1,2
1997,First Round,1,North Carolina,82,16,Fairfield,74,Not Upset,0,North Carolina,1,16,82,74,8,1,16
1996,Final Four,5,Mississippi State,69,4,Syracuse,77,Not Upset,0,Syracuse,4,5,77,69,8,4,5
2002,First Round,7,Oklahoma State,61,10,Kent State,69,Upset,1,Kent State,10,7,69,61,8,7,10
2001,Second Round,7,Penn State,82,2,North Carolina,74,Upset,1,Penn State,7,2,82,74,8,2,7
1996,Sweet 16,3,Texas Tech,90,2,Georgetown,98,Not Upset,0,Georgetown,2,3,98,90,8,2,3
2000,Second Round,7,Tulsa,69,2,Cincinnati,61,Upset,1,Tulsa,7,2,69,61,8,2,7
1994,Elite Eight,1,Arkansas,76,3,Michigan,68,Not Upset,0,Arkansas,1,3,76,68,8,1,3
1994,Elite Eight,9,Boston College,66,3,Florida,74,Not Upset,0,Florida,3,9,74,66,8,3,9
1994,First Round,7,St. Louis,66,10,Maryland,74,Upset,1,Maryland,10,7,74,66,8,7,10
1993,Sweet 16,1,Michigan,72,12,George Washington,64,Not Upset,0,Michigan,1,12,72,64,8,1,12
1992,Second Round,10,Iowa State,98,2,Kentucky,106,Not Upset,0,Kentucky,2,10,106,98,8,2,10
1992,Second Round,12,New Mexico State,81,13,Louisiana-Lafayette,73,Not Upset,0,New Mexico State,12,13,81,73,8,12,13
1992,First Round,6,Syracuse,51,11,Princeton,43,Not Upset,0,Syracuse,6,11,51,43,8,6,11
1991,First Round,6,Pittsburgh,76,11,Georgia,68,Not Upset,0,Pittsburgh,6,11,76,68,8,6,11
1991,Second Round,5,Texas,76,4,St. John's,84,Not Upset,0,St. John's,4,5,84,76,8,4,5
1991,First Round,5,Texas,73,12,St. Peter's,65,Not Upset,0,Texas,5,12,73,65,8,5,12
1991,Second Round,1,UNLV,62,8,Georgetown,54,Not Upset,0,UNLV,1,8,62,54,8,1,8
1991,Second Round,5,Wake Forest,88,4,Alabama,96,Not Upset,0,Alabama,4,5,96,88,8,4,5
1990,First Round,2,Kansas,79,15,Robert Morris,71,Not Upset,0,Kansas,2,15,79,71,8,2,15
1999,First Round,8,Syracuse,61,9,Oklahoma State,69,Upset,1,Oklahoma State,9,8,69,61,8,8,9
1996,First Round,8,Bradley,58,9,Stanford,66,Upset,1,Stanford,9,8,66,58,8,8,9
1990,First Round,7,Virginia,75,10,Notre Dame,67,Not Upset,0,Virginia,7,10,75,67,8,7,10
1994,First Round,8,Cincinnati,72,9,Wisconsin,80,Upset,1,Wisconsin,9,8,80,72,8,8,9
1990,First Round,6,Xavier,87,11,Kansas State,79,Not Upset,0,Xavier,6,11,87,79,8,6,11
1989,Sweet 16,1,Georgetown,69,5,North Carolina State,61,Not Upset,0,Georgetown,1,5,69,61,8,1,5
1988,Final Four,1,Arizona,78,1,Oklahoma,86,Not Upset,0,Oklahoma,1,1,86,78,8,1,1
1988,Second Round,5,DePaul,58,4,Kansas State,66,Not Upset,0,Kansas State,4,5,66,58,8,4,5
1988,First Round,7,Southern Methodist,83,10,Notre Dame,75,Not Upset,0,Southern Methodist,7,10,83,75,8,7,10
1988,First Round,6,Villanova,82,11,Arkansas,74,Not Upset,0,Villanova,6,11,82,74,8,6,11
1999,Second Round,10,Gonzaga,82,2,Stanford,74,Upset,1,Gonzaga,10,2,82,74,8,2,10
1999,Second Round,10,Miami (Ohio),66,2,Utah,58,Upset,1,Miami (Ohio),10,2,66,58,8,2,10
1994,Second Round,10,Maryland,95,2,Massachusetts,87,Upset,1,Maryland,10,2,95,87,8,2,10
1987,Second Round,6,St. John's,75,3,DePaul,83,Not Upset,0,DePaul,3,6,83,75,8,3,6
1986,Elite Eight,8,Auburn,76,2,Louisville,84,Not Upset,0,Louisville,2,8,84,76,8,2,8
1986,Elite Eight,1,Kansas,75,6,North Carolina State,67,Not Upset,0,Kansas,1,6,75,67,8,1,6
2006,Sweet 16,11,George Mason,63,7,Wichita State,55,Upset,1,George Mason,11,7,63,55,8,7,11
1986,First Round,8,Old Dominion,72,9,West Virginia,64,Not Upset,0,Old Dominion,8,9,72,64,8,8,9
1986,First Round,8,Western Kentucky,67,9,Nebraska,59,Not Upset,0,Western Kentucky,8,9,67,59,8,8,9
1985,First Round,6,Georgia,67,11,Wichita State,59,Not Upset,0,Georgia,6,11,67,59,8,6,11
1985,Sweet 16,3,Illinois,53,2,Georgia Tech,61,Not Upset,0,Georgia Tech,2,3,61,53,8,2,3
2003,Second Round,12,Butler,79,4,Louisville,71,Upset,1,Butler,12,4,79,71,8,4,12
2019,First Round,4,Florida State,76,13,Vermont,69,Not Upset,0,Florida State,4,13,76,69,7,4,13
2019,First Round,2,Tennessee,77,15,Colgate,70,Not Upset,0,Tennessee,2,15,77,70,7,2,15
2012,Elite Eight,1,Syracuse,70,2,Ohio State,77,Upset,1,Ohio State,2,1,77,70,7,1,2
2010,Elite Eight,1,Kentucky,66,2,West Virginia,73,Upset,1,West Virginia,2,1,73,66,7,1,2
2018,Second Round,16,Maryland-Baltimore County,43,9,Kansas State,50,Not Upset,0,Kansas State,9,16,50,43,7,9,16
2018,Play-In,11,St. Bonaventure,65,11,UCLA,58,Not Upset,0,St. Bonaventure,11,11,65,58,7,11,11
2017,Play-In,11,Kansas State,95,11,Wake Forest,88,Not Upset,0,Kansas State,11,11,95,88,7,11,11
2017,Second Round,1,North Carolina,72,8,Arkansas,65,Not Upset,0,North Carolina,1,8,72,65,7,1,8
2000,Second Round,1,Arizona,59,8,Wisconsin,66,Upset,1,Wisconsin,8,1,66,59,7,1,8
2000,Second Round,1,Stanford,53,8,North Carolina,60,Upset,1,North Carolina,8,1,60,53,7,1,8
2016,First Round,3,Miami (Fla.),79,14,Buffalo,72,Not Upset,0,Miami (Fla.),3,14,79,72,7,3,14
1996,Second Round,1,Purdue,69,8,Georgia,76,Upset,1,Georgia,8,1,76,69,7,1,8
2016,First Round,6,Notre Dame,70,11,Michigan,63,Not Upset,0,Notre Dame,6,11,70,63,7,6,11
2016,Second Round,12,Yale,64,4,Duke,71,Not Upset,0,Duke,4,12,71,64,7,4,12
2015,Final Four,1,Kentucky,64,1,Wisconsin,71,Not Upset,0,Wisconsin,1,1,71,64,7,1,1
2015,First Round,7,Michigan State,70,10,Georgia,63,Not Upset,0,Michigan State,7,10,70,63,7,7,10
2015,First Round,5,Utah,57,12,Stephen F. Austin,50,Not Upset,0,Utah,5,12,57,50,7,5,12
2015,Elite Eight,1,Wisconsin,85,2,Arizona,78,Not Upset,0,Wisconsin,1,2,85,78,7,1,2
